Case,Comparison,Reader1,Reader2,Pre/Post,Organ,Dice Score
Case_01,Expert vs Novice,Natally,Burcin,pre,pancreas,0.8000797140259319
Case_01,Expert vs Novice,Natally,Onur,pre,pancreas,0.8519995659015682
Case_01,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8561505916423449
Case_01,Expert vs Novice,Maria,Onur,pre,pancreas,0.8588118836081
Case_01,Experts,Natally,Maria,pre,pancreas,0.8321695925803246
Case_01,Novices,Burcin,Onur,pre,pancreas,0.8466164198571082
Case_01,Expert vs Novice,Natally,Burcin,pre,tumor,0.4750035009102367
Case_01,Expert vs Novice,Natally,Onur,pre,tumor,0.5626959247648903
Case_01,Expert vs Novice,Maria,Burcin,pre,tumor,0.6527645376549094
Case_01,Expert vs Novice,Maria,Onur,pre,tumor,0.6627852084972463
Case_01,Experts,Natally,Maria,pre,tumor,0.7126153846153847
Case_01,Novices,Burcin,Onur,pre,tumor,0.5969145110776012
Case_01,Expert vs Novice,Natally,Burcin,post,pancreas,0.1698325067839431
Case_01,Expert vs Novice,Natally,Onur,post,pancreas,0.8553310640166905
Case_01,Expert vs Novice,Maria,Burcin,post,pancreas,0.11314920820624243
Case_01,Expert vs Novice,Maria,Onur,post,pancreas,0.8482827609203067
Case_01,Experts,Natally,Maria,post,pancreas,0.8093373417881414
Case_01,Novices,Burcin,Onur,post,pancreas,0.10703628838194244
Case_01,Expert vs Novice,Natally,Burcin,post,tumor,0.6327218270310745
Case_01,Expert vs Novice,Natally,Onur,post,tumor,0.4994887525562372
Case_01,Expert vs Novice,Maria,Burcin,post,tumor,0.5647159333618111
Case_01,Expert vs Novice,Maria,Onur,post,tumor,0.6617466174661747
Case_01,Experts,Natally,Maria,post,tumor,0.5158139534883721
Case_01,Novices,Burcin,Onur,post,tumor,0.4918490917559385
Case_03,Expert vs Novice,Natally,Burcin,pre,pancreas,0.6805416019727829
Case_03,Expert vs Novice,Natally,Onur,pre,pancreas,0.8062033898305084
Case_03,Expert vs Novice,Maria,Burcin,pre,pancreas,0.6806091325020185
Case_03,Expert vs Novice,Maria,Onur,pre,pancreas,0.803875610722303
Case_03,Experts,Natally,Maria,pre,pancreas,0.811987420608004
Case_03,Novices,Burcin,Onur,pre,pancreas,0.6321601766937149
Case_03,Expert vs Novice,Natally,Burcin,pre,tumor,0.010164424514200299
Case_03,Expert vs Novice,Natally,Onur,pre,tumor,0.11574697173620457
Case_03,Expert vs Novice,Maria,Burcin,pre,tumor,0.0
Case_03,Expert vs Novice,Maria,Onur,pre,tumor,0.15772870662460567
Case_03,Experts,Natally,Maria,pre,tumor,0.06233062330623306
Case_03,Novices,Burcin,Onur,pre,tumor,0.01245835144140229
Case_03,Expert vs Novice,Natally,Burcin,post,pancreas,0.7590915378919187
Case_03,Expert vs Novice,Natally,Onur,post,pancreas,0.8831366421316666
Case_03,Expert vs Novice,Maria,Burcin,post,pancreas,0.8224527428497712
Case_03,Expert vs Novice,Maria,Onur,post,pancreas,0.8799050543488499
Case_03,Experts,Natally,Maria,post,pancreas,0.8541919805589308
Case_03,Novices,Burcin,Onur,post,pancreas,0.7862345142273667
Case_03,Expert vs Novice,Natally,Burcin,post,tumor,0.08554125662376987
Case_03,Expert vs Novice,Natally,Onur,post,tumor,0.001885014137606032
Case_03,Expert vs Novice,Maria,Burcin,post,tumor,0.0
Case_03,Expert vs Novice,Maria,Onur,post,tumor,0.0
Case_03,Experts,Natally,Maria,post,tumor,0.0
Case_03,Novices,Burcin,Onur,post,tumor,0.0
Case_04,Expert vs Novice,Natally,Burcin,pre,pancreas,0.7571167883211679
Case_04,Expert vs Novice,Natally,Onur,pre,pancreas,0.8267323105777543
Case_04,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8488291802444609
Case_04,Expert vs Novice,Maria,Onur,pre,pancreas,0.8615745990604244
Case_04,Experts,Natally,Maria,pre,pancreas,0.8107810326543542
Case_04,Novices,Burcin,Onur,pre,pancreas,0.8063744612275698
Case_04,Expert vs Novice,Natally,Burcin,pre,tumor,0.14185945002182454
Case_04,Expert vs Novice,Natally,Onur,pre,tumor,0.5357624831309041
Case_04,Expert vs Novice,Maria,Burcin,pre,tumor,0.04716862151595409
Case_04,Expert vs Novice,Maria,Onur,pre,tumor,0.25661787605107444
Case_04,Experts,Natally,Maria,pre,tumor,0.13245033112582782
Case_04,Novices,Burcin,Onur,pre,tumor,0.2499474016410688
Case_04,Expert vs Novice,Natally,Burcin,post,pancreas,0.770848182466144
Case_04,Expert vs Novice,Natally,Onur,post,pancreas,0.8567040852382376
Case_04,Expert vs Novice,Maria,Burcin,post,pancreas,0.8512729363793193
Case_04,Expert vs Novice,Maria,Onur,post,pancreas,0.8758355888462265
Case_04,Experts,Natally,Maria,post,pancreas,0.8303538854432689
Case_04,Novices,Burcin,Onur,post,pancreas,0.7942900443513339
Case_04,Expert vs Novice,Natally,Burcin,post,tumor,0.0
Case_04,Expert vs Novice,Natally,Onur,post,tumor,0.459045904590459
Case_04,Expert vs Novice,Maria,Burcin,post,tumor,0.008137599408174588
Case_04,Expert vs Novice,Maria,Onur,post,tumor,0.1112214498510427
Case_04,Experts,Natally,Maria,post,tumor,0.021032504780114723
Case_04,Novices,Burcin,Onur,post,tumor,0.001827485380116959
Case_05,Expert vs Novice,Natally,Burcin,pre,pancreas,0.7907757752154931
Case_05,Expert vs Novice,Natally,Onur,pre,pancreas,0.8704142914603531
Case_05,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8168534328455355
Case_05,Expert vs Novice,Maria,Onur,pre,pancreas,0.8344006831038532
Case_05,Experts,Natally,Maria,pre,pancreas,0.840680191714267
Case_05,Novices,Burcin,Onur,pre,pancreas,0.7869551896694543
Case_05,Expert vs Novice,Natally,Burcin,pre,tumor,0.816070068545316
Case_05,Expert vs Novice,Natally,Onur,pre,tumor,0.8682203389830508
Case_05,Expert vs Novice,Maria,Burcin,pre,tumor,0.8005309063329541
Case_05,Expert vs Novice,Maria,Onur,pre,tumor,0.8760016870518769
Case_05,Experts,Natally,Maria,pre,tumor,0.8748882931188561
Case_05,Novices,Burcin,Onur,pre,tumor,0.8126132656759696
Case_05,Expert vs Novice,Natally,Burcin,post,pancreas,0.824197247706422
Case_05,Expert vs Novice,Natally,Onur,post,pancreas,0.8921584330595154
Case_05,Expert vs Novice,Maria,Burcin,post,pancreas,0.8698078666263797
Case_05,Expert vs Novice,Maria,Onur,post,pancreas,0.8627796667086429
Case_05,Experts,Natally,Maria,post,pancreas,0.8570489783345313
Case_05,Novices,Burcin,Onur,post,pancreas,0.8123110530319284
Case_05,Expert vs Novice,Natally,Burcin,post,tumor,0.77728285077951
Case_05,Expert vs Novice,Natally,Onur,post,tumor,0.7925407925407926
Case_05,Expert vs Novice,Maria,Burcin,post,tumor,0.6965742251223491
Case_05,Expert vs Novice,Maria,Onur,post,tumor,0.8397267472411981
Case_05,Experts,Natally,Maria,post,tumor,0.775375939849624
Case_05,Novices,Burcin,Onur,post,tumor,0.6998784933171325
Case_06,Expert vs Novice,Natally,Burcin,pre,pancreas,0.7764507053864941
Case_06,Expert vs Novice,Natally,Onur,pre,pancreas,0.868713093056404
Case_06,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8415513618897995
Case_06,Expert vs Novice,Maria,Onur,pre,pancreas,0.8649869837956857
Case_06,Experts,Natally,Maria,pre,pancreas,0.8414184921303941
Case_06,Novices,Burcin,Onur,pre,pancreas,0.7904833109720502
Case_06,Expert vs Novice,Natally,Burcin,pre,tumor,0.8269297095950886
Case_06,Expert vs Novice,Natally,Onur,pre,tumor,0.7401055408970977
Case_06,Expert vs Novice,Maria,Burcin,pre,tumor,0.848959259918164
Case_06,Expert vs Novice,Maria,Onur,pre,tumor,0.6605270821199767
Case_06,Experts,Natally,Maria,pre,tumor,0.7904910853925555
Case_06,Novices,Burcin,Onur,pre,tumor,0.7273840627041149
Case_06,Expert vs Novice,Natally,Burcin,post,pancreas,0.7146616102282954
