Comparison,Pre/Post,Organ,mean,median,std
Expert vs Novice,post,pancreas,0.7982492890784,0.8147531330527291,0.10302269567099173
Expert vs Novice,post,tumor,0.5250746350718017,0.6067477693773167,0.2772189607009043
Expert vs Novice,pre,pancreas,0.8213081203869181,0.8310640506444508,0.05499135286623864
Expert vs Novice,pre,tumor,0.5835537618921527,0.6883808735393877,0.26953263777394226
Experts,post,pancreas,0.8209777830789755,0.8268925051822472,0.03309060762745385
Experts,post,tumor,0.5163301006213548,0.5932447603591751,0.2907983098805158
Experts,pre,pancreas,0.8311966828192892,0.8383415037448451,0.03400093055029527
Experts,pre,tumor,0.5579676885875303,0.6822368603279697,0.27058163300439575
Novices,post,pancreas,0.7296164786337361,0.7455033351584548,0.12874422371368482
Novices,post,tumor,0.4862154897571197,0.5698772578417776,0.29171894507879753
Novices,pre,pancreas,0.7720308628957133,0.7887192503207523,0.07324623889586888
Novices,pre,tumor,0.5788767254632571,0.6743613531155518,0.2593558737129754
